name,iata,icao,lat,lng,rank2000,total2000,pchange2000,rank2001,total2001,rchange2001,pchange2001,rank2002,total2002,rchange2002,pchange2002,rank2003,total2003,rchange2003,pchange2003,rank2004,total2004,rchange2004,pchange2004,rank2005,total2005,rchange2005,pchange2005,rank2006,total2006,rchange2006,pchange2006,rank2007,total2007,rchange2007,pchange2007,rank2008,total2008,rchange2008,pchange2008,rank2009,total2009,rchange2009,pchange2009,rank2010,total2010,rchange2010,pchange2010,rank2011,total2011,rchange2011,pchange2011,rank2012,total2012,rchange2012,pchange2012,rank2013,total2013,rchange2013,pchange2013,rank2014,total2014,rchange2014,pchange2014,rank2015,total2015,rchange2015,pchange2015
Minneapolis-St Paul International/Wold-Chamberlain Airport,MSP,KMSP,44.88199997000,-93.22180176000,13,36751632,Increase5.8,15,34308389,Decrease2,Decrease6.7%,16,32628331,Decrease1,Increase3.3%,15,33201860,Increase1,Increase1.8%,16,36713173,Decrease1,Increase10.6%,19,37604373,Decrease3,Increase2.4%,21,35612133,Decrease2,Decrease5.3%,26,35157322,Decrease5,Decrease1.3%,30,34056443,Steady,Decrease3.0%,32,32378599,Decrease2,Decrease4.9%,35,32749649,Decrease3,,40,33074443,Decrease5,Increase1.0%,41,33125768,Decrease1,Increase0.2%,43,33870693,Decrease2,Increase2.3%,46,35147083,Decrease3,Increase3.7%,50,36556281,Decrease4,Increase4.1%
McCarran International Airport,LAS,KLAS,36.08010101000,-115.15200040000,12,36865866,Increase9,12,35180960,Steady,Decrease4.6%,12,35009011,Steady,Decrease0.5%,12,36285932,Steady,Increase3.6%,11,41411531,Increase1,Increase19.7%,10,43989982,Increase1,Increase6.0%,11,46193329,Decrease1,Increase5.0%,15,46961011,Decrease4,Increase3.2%,15,43208724,Steady,Decrease8.0%,17,40469012,Decrease2,Decrease6.3%,22,39757359,Decrease5,Decrease1.8%,23,40560285,Decrease1,Increase2.0%,23,41666527,Steady,Increase0.5%,24,41856787,Decrease1,Decrease0.5%,25,42869517,Decrease1,Increase2.4%,26,45356580,Decrease1,Increase5.8%
Orlando International Airport,MCO,KMCO,28.42939949000,-81.30899811000,24,30823509,Increase5.6,24,28253248,Steady,Decrease8.3%,28,26653672,Decrease4,Decrease5.7%,23,27319223,Increase5,Increase2.5%,24,31143388,Decrease1,Increase14.0%,21,34128048,Increase3,Increase8.4%,24,34640451,Decrease3,Increase1.5%,20,36480416,Increase4,Increase5.3%,22,35660742,Decrease2,Decrease2.3%,27,33693649,Decrease5,Decrease5.5%,29,34877899,Decrease2,Increase3.5%,32,35356991,Decrease3,Increase1.4%,33,35214430,Decrease1,Decrease0.4%,41,34973645,Decrease8,Decrease0.8%,43,35714091,Decrease2,Increase2.7%,43,38727749,Steady,Increase8.4%
Chek Lap Kok International Airport,HKG,VHHH,22.30890083000,113.91500090000,0,,,17,32546029,Increase5,Decrease0.6%,15,33882463,Increase2,Increase4.1%,24,27092290,Decrease9,Decrease20.0%,17,36711920,Increase7,Increase35.5%,16,40269847,Increase1,Increase9.7%,14,43857908,Increase2,Increase8.9%,14,47042419,Steady,Increase7.3%,12,47857746,Increase2,Increase1.7%,13,45558807,Decrease1,Decrease4.8%,11,50348960,Increase2,Increase10.5%,10,53328613,Increase1,Increase5.9%,12,56064248,Decrease2,Increase5.2%,11,59609414,Increase1,Increase6.3%,10,63121786,Increase1,Increase5.9%,8,68283407,Increase2,Increase8.2%
Phoenix Sky Harbor International Airport,PHX,KPHX,33.43429947000,-112.01200100000,15,36040469,Increase7.4,0,,,,0,,,,11,37412165,Steady,Increase5.2%,12,39493519,Decrease1,Increase5.56%,14,41213754,Decrease2,Increase4.3%,18,41436737,Decrease4,Increase0.5%,17,42184515,Increase1,Increase1.8%,17,39891193,Steady,Decrease5.4%,19,37824982,Decrease2,Decrease5.2%,24,38554215,Decrease5,Increase1.9%,22,40591948,Increase2,Increase5.3%,25,40452009,Decrease3,Decrease0.3%,27,40318451,Decrease2,Decrease0.3%,26,42125212,Increase1,Increase4.5%,29,44003840,Decrease3,Increase4.5%
Singapore Changi Airport,SIN,WSSS,1.35019000000,103.99400300000,28,28618200,Increase9.8,25,28093759,Increase3,Decrease1.8%,24,28979344,Increase1,Increase3.2%,0,,,,26,30353565,Increase?,Increase23.1%,25,32430856,Increase1,Increase6.8%,22,35033083,Increase3,Increase8.0%,19,36701556,Increase3,Increase4.8%,19,37694824,Steady,Increase2.7%,21,37203978,Decrease2,Decrease1.3%,18,42038777,Increase3,Increase13.0%,18,46543845,Steady,Increase10.7%,15,51181804,Increase3,Increase10.0%,13,53726087,Increase2,Increase5.0%,16,54093000,Decrease3,Increase0.7%,16,55449000,Steady,Increase2.5%
Beijing Capital International Airport,PEK,ZBAA,40.08010101000,116.58499910000,0,,,0,,,,26,27159665,Increase?,Increase12.3%,0,,,,20,34883190,Increase?,Increase43.2%,15,41004008,Increase5,Increase17.5%,9,48654770,Increase6,Increase18.7%,9,53583664,Steady,Increase10.1%,8,55937289,Increase1,Increase4.4%,3,65372012,Increase5,Increase16.9%,2,73948113,Increase1,Increase13.1%,2,78675058,Steady,Increase6.4%,2,81929359,Steady,Increase4.5%,2,83712355,Steady,Increase2.2%,2,86128270,Steady,Increase2.9%,2,89938628,Steady,Increase4.4%
Suvarnabhumi Airport,BKK,VTBS,13.68109989000,100.74700160000,26,29616432,Increase8.5,0,,,,0,,,,0,,,,0,,,,0,,,,16,42799532,Increase2,Increase9.8%,18,41210081,Decrease2,Decrease3.7%,18,38603490,Steady,Decrease6.3%,16,40500224,Increase2,Increase4.9%,17,42784967,Decrease1,Increase5.6%,16,47910904,Increase1,Increase12.0%,14,53002328,Increase2,Increase10.6%,17,51363451,Decrease3,Decrease3.1%,22,46423352,Decrease5,Decrease9.6%,20,52808013,Increase2,Increase13.8%
Munich International Airport,MUC,EDDM,48.35380173000,11.78610039000,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,30,30757978,Increase?,Increase7.5%,28,33959422,Increase2,Increase10.4%,27,34530593,Increase1,Increase1.7%,30,32681067,Decrease3,Decrease5.4%,30,34721605,Steady,Increase6.2%,27,37763701,Increase3,Increase8.8%,30,38360604,Decrease3,Increase1.6%,30,38672644,Steady,Increase0.8%,32,39700515,Decrease2,Increase2.7%,34,40981522,Decrease2,Increase3.2%
Dubai International Airport,DXB,OMDB,25.25279999000,55.36439896000,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,27,34348110,Increase?,Increase19.3%,20,37441440,Increase7,Increase9.0%,15,40901752,Increase5,Increase9.2%,13,47180628,Increase2,Increase15.4%,13,50977960,Steady,Increase8.0%,10,57684550,Increase3,Increase13.2%,7,66431533,Increase3,Increase15.2%,6,70475636,Increase1,Increase6.1%,3,78014841,Increase3,Increase10.7%
Charlotte Douglas International Airport,CLT,KCLT,35.21400070000,-80.94309998000,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,30,33165688,Increase?,Increase11.7%,26,34739020,Increase4,Increase4.7%,24,34536666,Increase2,Decrease0.6%,25,38254207,Decrease1,Increase10.8%,25,39043708,Steady,Increase2.1%,24,41226035,Increase1,Increase5.6%,23,43456310,Increase1,Increase5.4%,24,44279504,Decrease1,Increase1.9%,27,44876627,Decrease3,Increase1.2%
Lester B. Pearson International Airport,YYZ,CYYZ,43.67720032000,-79.63059998000,27,28930036,Increase4.1,26,28042692,Increase1,Decrease3.1%,29,25930363,Decrease3,Decrease7.5%,29,24739312,Steady,Decrease4.6%,29,28615709,Steady,Increase4.6%,29,29914750,Steady,Increase4.5%,29,30794980,Steady,Increase2.9%,0,,,,34,32338902,?,Increase2.8%,38,30368339,Decrease4,Decrease6.1%,38,31937895,Steady,,38,33434199,Steady,Increase4.5%,35,34912456,Increase3,Increase4.4%,35,36037962,Steady,Increase3.2%,34,38569088,Increase1,Increase6.8%,33,41036847,Increase1,Increase6.4%
Seattle Tacoma International Airport,SEA,KSEA,47.44900131000,-122.30899810000,29,28408553,Increase2.5,27,27036073,Increase2,Decrease4.8%,27,26690843,Steady,Decrease1.3%,25,26755888,Increase2,Increase0.2%,28,28804554,Decrease3,Increase7.5%,30,29289026,Decrease2,Increase1.7%,0,,,,0,,,,35,32187939,?,Increase2.8%,36,31227512,Decrease1,Decrease3.0%,39,31553166,Decrease3,,41,32820060,Decrease2,Increase3.9%,40,33219723,Increase1,Increase1.2%,42,34824281,Decrease2,Increase4.8%,40,37497941,Increase2,Increase7.7,31,42340461,Increase9,Increase12.9%
