name,iata,icao,lat,lng,rank2000,total2000,pchange2000,rank2001,total2001,rchange2001,pchange2001,rank2002,total2002,rchange2002,pchange2002,rank2003,total2003,rchange2003,pchange2003,rank2004,total2004,rchange2004,pchange2004,rank2005,total2005,rchange2005,pchange2005,rank2006,total2006,rchange2006,pchange2006,rank2007,total2007,rchange2007,pchange2007,rank2008,total2008,rchange2008,pchange2008,rank2009,total2009,rchange2009,pchange2009,rank2010,total2010,rchange2010,pchange2010,rank2011,total2011,rchange2011,pchange2011,rank2012,total2012,rchange2012,pchange2012,rank2013,total2013,rchange2013,pchange2013,rank2014,total2014,rchange2014,pchange2014,rank2015,total2015,rchange2015,pchange2015
Philadelphia International Airport,PHL,KPHL,39.87189865000,-75.24109650000,0,,,11,35439031,Increase4,Decrease1.7%,11,35547167,Steady,Increase0.3%,30,24671075,Increase?,Increase0.5%,30,28507420,Steady,Increase15.5%,26,31495385,Increase4,Increase10.5%,28,31768272,Decrease2,Increase0.9%,0,,,,37,31832419,?,Decrease1.2%,37,30669564,Steady,Decrease3.7%,42,30775271,Decrease5,,43,30839130,Decrease1,Increase0.2%,47,30228596,Decrease4,Decrease2.0%,0,,,,0,,,,0,,,
Melbourne International Airport,MEL,YMML,-37.67330170000,144.84300230000,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,46,24892467,?,Increase7.9%,45,25248762,Increase1,Increase1.4%,46,27731252,Decrease1,,50,28060111,Decrease4,Increase1.2%,50,29431084,Steady,Increase4.9%,0,,,,0,,,,0,,,
General Edward Lawrence Logan International Airport,BOS,KBOS,42.36429977000,-71.00520325000,30,27412926,Increase1.3,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,45,26102391,?,Decrease7.1%,43,25512086,Increase2,Decrease2.3%,48,27429152,Decrease5,,48,28866313,Steady,Increase5.0%,0,,,,0,,,,0,,,,0,,,
Paris-Orly Airport,ORY,LFPO,48.72333330000,2.37944440000,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,44,26207628,?,Decrease0.9%,46,25107693,Decrease2,Decrease4.2%,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
Dublin Airport,DUB,EIDW,53.42129898000,-6.27007007600,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,49,23466630,?,Increase0.8%,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
Washington Dulles International Airport,IAD,KIAD,38.94449997000,-77.45580292000,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,48,23698010,?,Decrease3.4%,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
Don Mueang International Airport,DMK,VTBD,13.91259956000,100.60700230000,0,,,21,30623366,Increase5,Increase3.4%,18,32182980,Increase3,Increase5.1%,18,30175379,Steady,Decrease6.2%,14,37960169,Increase4,Increase25.8%,18,38985043,Decrease4,Increase2.7%,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
Lambert St Louis International Airport,STL,KSTL,38.74869919000,-90.37000275000,25,30561387,Increase1.2,28,26695019,Decrease3,Decrease12.7%,30,25626114,Decrease2,Decrease3.9%,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
Jeon Ju Airport,CHN,RKJU,35.87839890000,127.12000270000,22,32752359,Increase10.2,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
Gimpo International Airport,GMP,RKSS,37.55830002000,126.79100040000,14,36727124,Increase10.1,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
